gene_id,true_log2_fold_change,is_differential
gene_00001,0.0,False
gene_00002,0.0,False
gene_00003,0.0,False
gene_00004,0.0,False
gene_00005,0.0,False
gene_00006,0.0,False
gene_00007,0.0,False
gene_00008,0.0,False
gene_00009,0.0,False
gene_00010,0.0,False
gene_00011,0.0,False
gene_00012,0.0,False
gene_00013,0.0,False
gene_00014,0.0,False
gene_00015,0.0,False
gene_00016,0.0,False
gene_00017,0.0,False
gene_00018,0.0,False
gene_00019,2.0363104364676476,True
gene_00020,0.0,False
gene_00021,0.0,False
gene_00022,0.0,False
gene_00023,0.0,False
gene_00024,0.0,False
gene_00025,0.0,False
gene_00026,0.0,False
gene_00027,-1.867747743089282,True
gene_00028,0.0,False
gene_00029,0.0,False
gene_00030,0.0,False
gene_00031,0.0,False
gene_00032,0.0,False
gene_00033,0.0,False
gene_00034,0.0,False
gene_00035,0.0,False
gene_00036,0.0,False
gene_00037,0.0,False
gene_00038,0.0,False
gene_00039,-1.8725173706007314,True
gene_00040,0.0,False
gene_00041,0.0,False
gene_00042,0.0,False
gene_00043,0.0,False
gene_00044,0.0,False
gene_00045,0.0,False
gene_00046,0.0,False
gene_00047,0.0,False
gene_00048,0.0,False
gene_00049,1.668551908565167,True
gene_00050,1.7358182815823149,True
gene_00051,0.0,False
gene_00052,0.0,False
gene_00053,0.0,False
gene_00054,0.0,False
gene_00055,0.0,False
gene_00056,0.0,False
gene_00057,0.0,False
gene_00058,0.0,False
gene_00059,0.0,False
gene_00060,0.0,False
gene_00061,0.0,False
gene_00062,0.0,False
gene_00063,-1.3148390131874277,True
gene_00064,0.0,False
gene_00065,0.0,False
gene_00066,0.0,False
gene_00067,0.0,False
gene_00068,0.0,False
gene_00069,0.0,False
gene_00070,0.0,False
gene_00071,0.0,False
gene_00072,0.0,False
gene_00073,0.0,False
gene_00074,0.0,False
gene_00075,0.0,False
gene_00076,0.0,False
gene_00077,0.0,False
gene_00078,0.0,False
gene_00079,0.0,False
gene_00080,0.0,False
gene_00081,0.0,False
gene_00082,0.0,False
gene_00083,0.0,False
gene_00084,0.0,False
gene_00085,0.0,False
gene_00086,0.0,False
gene_00087,0.0,False
gene_00088,0.0,False
gene_00089,0.0,False
gene_00090,0.0,False
gene_00091,0.0,False
gene_00092,0.0,False
gene_00093,0.0,False
gene_00094,0.0,False
gene_00095,0.0,False
gene_00096,0.0,False
gene_00097,0.0,False
gene_00098,0.0,False
gene_00099,0.0,False
gene_00100,0.0,False
gene_00101,0.0,False
gene_00102,0.0,False
gene_00103,0.0,False
gene_00104,0.0,False
gene_00105,0.0,False
gene_00106,0.0,False
gene_00107,-2.148080895437547,True
gene_00108,0.0,False
gene_00109,0.0,False
