sample_id,total_reads,host_mapped_reads,non_host_reads,mapping_rate,is_negative_control
S001,3676179,3598097,78081,0.97876,True
S002,3386739,3353807,32931,0.99028,True
S003,3587518,3529726,57791,0.98389,True
S004,3707705,3699733,7971,0.99785,True
S005,3785813,3741363,44449,0.98826,False
S006,3235711,3180969,54741,0.98308,False
S007,3640688,3598883,41804,0.98852,False
S008,3316678,3248630,68047,0.97948,False
S009,3482649,3430670,51978,0.98507,False
S010,3699943,3624342,75600,0.97957,False
S011,3659433,3591495,67937,0.98144,False
S012,3689217,3666269,22947,0.99378,False
S013,4099182,4095082,4099,0.999,False
S014,3560341,3484812,75528,0.97879,False
S015,4132117,4049770,82346,0.98007,False
S016,3280515,3234704,45810,0.98604,False
S017,3257960,3241362,16597,0.99491,False
S018,3559139,3512960,46178,0.98703,False
S019,3828975,3741068,87906,0.97704,False
S020,3660624,3609592,51031,0.98606,False
S021,3559333,3483254,76078,0.97863,False
S022,4059228,4055168,4059,0.999,False
S023,3566544,3483624,82919,0.97675,False
S024,4303520,4293015,10504,0.99756,False
