sample_id,profile,contaminant_reads,marker_hits,is_negative_control
S001,low_contam,5,0,True
S002,low_contam,5,1,True
S003,low_contam,4,1,True
S004,low_contam,4,0,True
S005,low_contam,2555,3,False
S006,low_contam,2494,1,False
S007,low_contam,2508,0,False
S008,low_contam,2467,6,False
S009,low_contam,2441,3,False
S010,low_contam,2543,2,False
S011,low_contam,2561,5,False
S012,low_contam,2512,4,False
S013,low_contam,2599,3,False
S014,low_contam,2428,4,False
S015,low_contam,2549,3,False
S016,low_contam,2538,5,False
S017,low_contam,2554,3,False
S018,low_contam,2458,2,False
S019,low_contam,2435,4,False
S020,low_contam,2427,7,False
S021,low_contam,2564,4,False
S022,low_contam,2404,2,False
S023,low_contam,2447,4,False
S024,low_contam,2510,1,False
