sample_id,taxon,read_count,domain
S001,HostReferenceResidual,78076,host
S001,Pseudomonas_aeruginosa,5,non_host
S001,E_coli_K12,4,non_host
S001,Bacillus_subtilis,4,non_host
S001,SyntheticVectorX,1,non_host
S002,HostReferenceResidual,32926,host
S002,Pseudomonas_aeruginosa,2,non_host
S002,E_coli_K12,3,non_host
S002,Bacillus_subtilis,1,non_host
S002,SyntheticVectorX,4,non_host
S003,HostReferenceResidual,57787,host
S003,Pseudomonas_aeruginosa,1,non_host
S003,E_coli_K12,2,non_host
S003,Bacillus_subtilis,0,non_host
S003,SyntheticVectorX,1,non_host
S004,HostReferenceResidual,7967,host
S004,Pseudomonas_aeruginosa,1,non_host
S004,E_coli_K12,2,non_host
S004,Bacillus_subtilis,1,non_host
S004,SyntheticVectorX,3,non_host
S005,HostReferenceResidual,41894,host
S005,Pseudomonas_aeruginosa,983,non_host
S005,E_coli_K12,528,non_host
S005,Bacillus_subtilis,2370,non_host
S005,SyntheticVectorX,2082,non_host
S006,HostReferenceResidual,52247,host
S006,Pseudomonas_aeruginosa,2040,non_host
S006,E_coli_K12,1585,non_host
S006,Bacillus_subtilis,1802,non_host
S006,SyntheticVectorX,2263,non_host
S007,HostReferenceResidual,39296,host
S007,Pseudomonas_aeruginosa,1514,non_host
S007,E_coli_K12,999,non_host
S007,Bacillus_subtilis,1449,non_host
S007,SyntheticVectorX,2481,non_host
S008,HostReferenceResidual,65580,host
S008,Pseudomonas_aeruginosa,545,non_host
S008,E_coli_K12,698,non_host
S008,Bacillus_subtilis,2141,non_host
S008,SyntheticVectorX,1547,non_host
S009,HostReferenceResidual,49537,host
S009,Pseudomonas_aeruginosa,1305,non_host
S009,E_coli_K12,686,non_host
S009,Bacillus_subtilis,754,non_host
S009,SyntheticVectorX,2660,non_host
S010,HostReferenceResidual,73057,host
S010,Pseudomonas_aeruginosa,2631,non_host
S010,E_coli_K12,1580,non_host
S010,Bacillus_subtilis,984,non_host
S010,SyntheticVectorX,1228,non_host
S011,HostReferenceResidual,65376,host
S011,Pseudomonas_aeruginosa,1497,non_host
S011,E_coli_K12,610,non_host
S011,Bacillus_subtilis,1682,non_host
S011,SyntheticVectorX,1293,non_host
S012,HostReferenceResidual,20435,host
S012,Pseudomonas_aeruginosa,2729,non_host
S012,E_coli_K12,1623,non_host
S012,Bacillus_subtilis,2321,non_host
S012,SyntheticVectorX,694,non_host
S013,HostReferenceResidual,1500,host
S013,Pseudomonas_aeruginosa,1574,non_host
S013,E_coli_K12,571,non_host
S013,Bacillus_subtilis,2506,non_host
S013,SyntheticVectorX,2674,non_host
S014,HostReferenceResidual,73100,host
S014,Pseudomonas_aeruginosa,2542,non_host
S014,E_coli_K12,1002,non_host
S014,Bacillus_subtilis,569,non_host
S014,SyntheticVectorX,1731,non_host
S015,HostReferenceResidual,79797,host
S015,Pseudomonas_aeruginosa,2716,non_host
S015,E_coli_K12,897,non_host
S015,Bacillus_subtilis,615,non_host
S015,SyntheticVectorX,1535,non_host
S016,HostReferenceResidual,43272,host
S016,Pseudomonas_aeruginosa,729,non_host
S016,E_coli_K12,2260,non_host
S016,Bacillus_subtilis,1123,non_host
S016,SyntheticVectorX,2706,non_host
S017,HostReferenceResidual,14043,host
S017,Pseudomonas_aeruginosa,1243,non_host
S017,E_coli_K12,2347,non_host
S017,Bacillus_subtilis,2806,non_host
S017,SyntheticVectorX,1693,non_host
S018,HostReferenceResidual,43720,host
S018,Pseudomonas_aeruginosa,2070,non_host
S018,E_coli_K12,1812,non_host
S018,Bacillus_subtilis,945,non_host
S018,SyntheticVectorX,2319,non_host
S019,HostReferenceResidual,85471,host
S019,Pseudomonas_aeruginosa,2639,non_host
S019,E_coli_K12,1132,non_host
S019,Bacillus_subtilis,2570,non_host
S019,SyntheticVectorX,542,non_host
S020,HostReferenceResidual,48604,host
S020,Pseudomonas_aeruginosa,730,non_host
S020,E_coli_K12,2347,non_host
S020,Bacillus_subtilis,2274,non_host
S020,SyntheticVectorX,1007,non_host
S021,HostReferenceResidual,73514,host
S021,Pseudomonas_aeruginosa,1589,non_host
S021,E_coli_K12,1100,non_host
S021,Bacillus_subtilis,1074,non_host
S021,SyntheticVectorX,2282,non_host
S022,HostReferenceResidual,1655,host
S022,Pseudomonas_aeruginosa,800,non_host
S022,E_coli_K12,2528,non_host
S022,Bacillus_subtilis,848,non_host
S022,SyntheticVectorX,1113,non_host
S023,HostReferenceResidual,80472,host
S023,Pseudomonas_aeruginosa,2469,non_host
S023,E_coli_K12,2415,non_host
S023,Bacillus_subtilis,587,non_host
S023,SyntheticVectorX,900,non_host
S024,HostReferenceResidual,7994,host
S024,Pseudomonas_aeruginosa,1718,non_host
S024,E_coli_K12,738,non_host
S024,Bacillus_subtilis,2437,non_host
S024,SyntheticVectorX,622,non_host
