sample_id,marker_name,hit_count,expected_in_host
S001,VectorResistanceCassette,0,False
S002,VectorResistanceCassette,1,False
S003,VectorResistanceCassette,1,False
S004,VectorResistanceCassette,0,False
S005,VectorResistanceCassette,3,False
S006,VectorResistanceCassette,1,False
S007,VectorResistanceCassette,0,False
S008,VectorResistanceCassette,6,False
S009,VectorResistanceCassette,3,False
S010,VectorResistanceCassette,2,False
S011,VectorResistanceCassette,5,False
S012,VectorResistanceCassette,4,False
S013,VectorResistanceCassette,3,False
S014,VectorResistanceCassette,4,False
S015,VectorResistanceCassette,3,False
S016,VectorResistanceCassette,5,False
S017,VectorResistanceCassette,3,False
S018,VectorResistanceCassette,2,False
S019,VectorResistanceCassette,4,False
S020,VectorResistanceCassette,7,False
S021,VectorResistanceCassette,4,False
S022,VectorResistanceCassette,2,False
S023,VectorResistanceCassette,4,False
S024,VectorResistanceCassette,1,False
