gene,sample,group,log_expr
GENE_0000,0,control,8.342770782707465
GENE_0000,1,control,8.39887231588102
GENE_0000,2,control,8.757879415551567
GENE_0000,3,control,8.401571139506139
GENE_0000,4,control,8.651996047369606
GENE_0000,5,control,8.315762075898954
GENE_0000,6,control,8.437609256959554
GENE_0000,7,control,8.625802111891261
GENE_0000,8,control,7.477157886759447
GENE_0000,9,control,8.102774418683548
GENE_0000,10,treatment,8.019888627819027
GENE_0000,11,treatment,7.927210771146226
GENE_0000,12,treatment,8.127265349505388
GENE_0000,13,treatment,9.100811308858981
GENE_0000,14,treatment,7.80238647404878
GENE_0000,15,treatment,8.811146682705377
GENE_0000,16,treatment,7.353015213291371
GENE_0000,17,treatment,8.094406821187887
GENE_0000,18,treatment,8.368107773487816
GENE_0000,19,treatment,8.601015869927666
GENE_0001,20,control,9.289812875111386
GENE_0001,21,control,8.661673106014785
GENE_0001,22,control,8.599178409785914
GENE_0001,23,control,9.32535863044286
GENE_0001,24,control,8.748254517066538
GENE_0001,25,control,8.15184441791557
GENE_0001,26,control,8.230163928049512
GENE_0001,27,control,8.34777313845054
GENE_0001,28,control,9.126910304980996
GENE_0001,29,control,8.931806050590236
GENE_0001,30,treatment,9.2332388404887
GENE_0001,31,treatment,8.618482940266333
GENE_0001,32,treatment,8.940668725843619
GENE_0001,33,treatment,9.197546612433461
GENE_0001,34,treatment,8.683331298905294
GENE_0001,35,treatment,9.104698276408001
GENE_0001,36,treatment,8.489412628164768
GENE_0001,37,treatment,8.653792280140637
GENE_0001,38,treatment,8.643516054052345
GENE_0001,39,treatment,8.195760090677453
GENE_0002,40,control,8.3261956898312
GENE_0002,41,control,8.591238742242927
GENE_0002,42,control,8.848777639340948
GENE_0002,43,control,8.829959123759167
GENE_0002,44,control,8.950328786877732
GENE_0002,45,control,8.530199960462516
GENE_0002,46,control,8.351552905318414
GENE_0002,47,control,8.54052196094418
GENE_0002,48,control,7.656333038265782
GENE_0002,49,control,7.788455117110001
GENE_0002,50,treatment,7.856882190147777
GENE_0002,51,treatment,8.035881221761883
GENE_0002,52,treatment,8.804242801640589
GENE_0002,53,treatment,8.086353496494665
GENE_0002,54,treatment,8.376377572221035
GENE_0002,55,treatment,9.298942540725035
GENE_0002,56,treatment,8.388421792858914
GENE_0002,57,treatment,8.990000539599595
GENE_0002,58,treatment,8.070877252937265
GENE_0002,59,treatment,8.471376320115501
GENE_0003,60,control,6.673505342361993
GENE_0003,61,control,7.32214300970887
GENE_0003,62,control,5.909947301351511
GENE_0003,63,control,7.098906538057524
GENE_0003,64,control,6.990728115390056
GENE_0003,65,control,6.533191058474065
GENE_0003,66,control,6.064641714193653
GENE_0003,67,control,6.899644763349931
GENE_0003,68,control,6.568752544122211
GENE_0003,69,control,6.98794545035239
GENE_0003,70,treatment,6.871992214145196
GENE_0003,71,treatment,7.740951924333806
GENE_0003,72,treatment,6.728327938997139
GENE_0003,73,treatment,6.297049913165277
GENE_0003,74,treatment,6.958575133333277
GENE_0003,75,treatment,6.980971710291773
GENE_0003,76,treatment,7.607526700489543
GENE_0003,77,treatment,7.31928471936032
GENE_0003,78,treatment,7.056252616639533
GENE_0003,79,treatment,7.664790124278062
GENE_0004,80,control,6.221620991800218
GENE_0004,81,control,6.063867567039541
GENE_0004,82,control,6.359088943076907
GENE_0004,83,control,5.816306953656609
GENE_0004,84,control,6.922817355560501
GENE_0004,85,control,6.451261851408254
GENE_0004,86,control,5.764540872836117
GENE_0004,87,control,6.014915840148431
GENE_0004,88,control,6.745916950910186
GENE_0004,89,control,7.034453947154489
GENE_0004,90,treatment,7.671686325243062
GENE_0004,91,treatment,8.17610869111661
GENE_0004,92,treatment,6.801409523114377
GENE_0004,93,treatment,6.0292383687950535
GENE_0004,94,treatment,5.400858880410359
GENE_0004,95,treatment,6.720725639101689
GENE_0004,96,treatment,6.1263667323919
GENE_0004,97,treatment,6.3450378417137525
GENE_0004,98,treatment,6.236831095329685
GENE_0004,99,treatment,6.496049347283567
GENE_0005,100,control,9.365552989040111
GENE_0005,101,control,9.191927116573893
GENE_0005,102,control,8.709566712890975
GENE_0005,103,control,8.358100657357776
GENE_0005,104,control,9.01170692695484
GENE_0005,105,control,9.249595873995096
GENE_0005,106,control,10.251537729414109
GENE_0005,107,control,9.35082726375526
GENE_0005,108,control,9.819683008007853
GENE_0005,109,control,9.004563697748639
GENE_0005,110,treatment,8.627457205415809
GENE_0005,111,treatment,8.748362057717367
GENE_0005,112,treatment,8.880301941450508
GENE_0005,113,treatment,10.449834629784513
