week_index,theme,subject
2,how_to,[how_to] synthetic issue #1
20,performance,[performance] synthetic issue #2
17,account,[account] synthetic issue #3
11,performance,[performance] synthetic issue #4
11,account,[account] synthetic issue #5
22,performance,[performance] synthetic issue #6
2,account,[account] synthetic issue #7
18,billing,[billing] synthetic issue #8
5,performance,[performance] synthetic issue #9
2,bug,[bug] synthetic issue #10
13,how_to,[how_to] synthetic issue #11
25,performance,[performance] synthetic issue #12
19,account,[account] synthetic issue #13
19,account,[account] synthetic issue #14
18,bug,[bug] synthetic issue #15
20,performance,[performance] synthetic issue #16
13,performance,[performance] synthetic issue #17
3,bug,[bug] synthetic issue #18
21,billing,[billing] synthetic issue #19
11,billing,[billing] synthetic issue #20
13,performance,[performance] synthetic issue #21
9,how_to,[how_to] synthetic issue #22
4,account,[account] synthetic issue #23
24,how_to,[how_to] synthetic issue #24
20,account,[account] synthetic issue #25
16,bug,[bug] synthetic issue #26
10,performance,[performance] synthetic issue #27
21,billing,[billing] synthetic issue #28
14,how_to,[how_to] synthetic issue #29
11,performance,[performance] synthetic issue #30
11,account,[account] synthetic issue #31
5,performance,[performance] synthetic issue #32
2,billing,[billing] synthetic issue #33
14,bug,[bug] synthetic issue #34
23,billing,[billing] synthetic issue #35
1,billing,[billing] synthetic issue #36
22,performance,[performance] synthetic issue #37
21,performance,[performance] synthetic issue #38
7,performance,[performance] synthetic issue #39
16,account,[account] synthetic issue #40
4,performance,[performance] synthetic issue #41
19,performance,[performance] synthetic issue #42
18,billing,[billing] synthetic issue #43
9,billing,[billing] synthetic issue #44
1,how_to,[how_to] synthetic issue #45
25,account,[account] synthetic issue #46
11,billing,[billing] synthetic issue #47
23,how_to,[how_to] synthetic issue #48
17,performance,[performance] synthetic issue #49
20,billing,[billing] synthetic issue #50
19,bug,[bug] synthetic issue #51
5,account,[account] synthetic issue #52
9,performance,[performance] synthetic issue #53
12,bug,[bug] synthetic issue #54
12,performance,[performance] synthetic issue #55
1,bug,[bug] synthetic issue #56
14,performance,[performance] synthetic issue #57
4,bug,[bug] synthetic issue #58
19,how_to,[how_to] synthetic issue #59
17,bug,[bug] synthetic issue #60
23,bug,[bug] synthetic issue #61
19,account,[account] synthetic issue #62
9,billing,[billing] synthetic issue #63
25,billing,[billing] synthetic issue #64
10,bug,[bug] synthetic issue #65
8,performance,[performance] synthetic issue #66
23,performance,[performance] synthetic issue #67
9,account,[account] synthetic issue #68
1,bug,[bug] synthetic issue #69
